image_id,question,answer,label,prompts
2360014,How many people are there?,2,False,How many people are there? 2
2360014,How many people are there?,3,False,How many people are there? 3
2360014,How many people are there?,0,True,How many people are there? 0
2360015,How many chairs are there?,5,False,How many chairs are there? 5
2360015,How many chairs are there?,4,False,How many chairs are there? 4
2360015,How many chairs are there?,3,False,How many chairs are there? 3
2360015,How many chairs are there?,6,True,How many chairs are there? 6
2360019,How many creamers in the bowl?,12,False,How many creamers in the bowl? 12
2360019,How many creamers in the bowl?,13,False,How many creamers in the bowl? 13
2360019,How many creamers in the bowl?,5,False,How many creamers in the bowl? 5
2360019,How many creamers in the bowl?,8,True,How many creamers in the bowl? 8
2360019,How many plates on the table?,12,False,How many plates on the table? 12
2360019,How many plates on the table?,13,False,How many plates on the table? 13
2360019,How many plates on the table?,5,False,How many plates on the table? 5
2360019,How many plates on the table?,3,True,How many plates on the table? 3
2360074,How many different kinds of animals are in this photo?,2,False,How many different kinds of animals are in this photo? 2
2360074,How many different kinds of animals are in this photo?,3,False,How many different kinds of animals are in this photo? 3
2360074,How many different kinds of animals are in this photo?,4,False,How many different kinds of animals are in this photo? 4
2360074,How many different kinds of animals are in this photo?,1,True,How many different kinds of animals are in this photo? 1
2360074,How many elephants are in the photo?,1,False,How many elephants are in the photo? 1
2360074,How many elephants are in the photo?,3,False,How many elephants are in the photo? 3
2360074,How many elephants are in the photo?,4,False,How many elephants are in the photo? 4
2360074,How many elephants are in the photo?,2,True,How many elephants are in the photo? 2
2360136,How many tomatoes are pictured?,5,False,How many tomatoes are pictured? 5
2360136,How many tomatoes are pictured?,2,False,How many tomatoes are pictured? 2
2360136,How many tomatoes are pictured?,6,False,How many tomatoes are pictured? 6
2360136,How many tomatoes are pictured?,4,True,How many tomatoes are pictured? 4
2360156,How many people are shown?,2,False,How many people are shown? 2
2360156,How many people are shown?,3,False,How many people are shown? 3
2360156,How many people are shown?,4,False,How many people are shown? 4
2360156,How many people are shown?,0,True,How many people are shown? 0
2360157,How many pizzas are in the photo?,4,False,How many pizzas are in the photo? 4
2360157,How many pizzas are in the photo?,2,False,How many pizzas are in the photo? 2
2360157,How many pizzas are in the photo?,3,False,How many pizzas are in the photo? 3
2360157,How many pizzas are in the photo?,1,True,How many pizzas are in the photo? 1
2360158,How many arrows?,1,False,How many arrows? 1
2360158,How many arrows?,3,False,How many arrows? 3
2360158,How many arrows?,5,False,How many arrows? 5
2360158,How many arrows?,2,True,How many arrows? 2
2360159,How many elephants?,1,False,How many elephants? 1
2360159,How many elephants?,3,False,How many elephants? 3
2360159,How many elephants?,5,False,How many elephants? 5
2360159,How many elephants?,2,True,How many elephants? 2
2360174,How many statues are in the picture?,2,False,How many statues are in the picture? 2
2360174,How many statues are in the picture?,3,False,How many statues are in the picture? 3
2360174,How many statues are in the picture?,4,False,How many statues are in the picture? 4
2360174,How many statues are in the picture?,1,True,How many statues are in the picture? 1
2360183,How many animals can be seen?,12,False,How many animals can be seen? 12
2360183,How many animals can be seen?,4,False,How many animals can be seen? 4
2360183,How many animals can be seen?,5,False,How many animals can be seen? 5
2360183,How many animals can be seen?,3,True,How many animals can be seen? 3
2360195,How many signs are in the image?,6,False,How many signs are in the image? 6
2360195,How many signs are in the image?,5,False,How many signs are in the image? 5
2360195,How many signs are in the image?,4,False,How many signs are in the image? 4
2360195,How many signs are in the image?,7,True,How many signs are in the image? 7
2360349,How many giraffes are in the picture?,4,False,How many giraffes are in the picture? 4
2360349,How many giraffes are in the picture?,3,False,How many giraffes are in the picture? 3
2360349,How many giraffes are in the picture?,6,False,How many giraffes are in the picture? 6
2360349,How many giraffes are in the picture?,2,True,How many giraffes are in the picture? 2
2360364,How many people are there?,2,False,How many people are there? 2
2360364,How many people are there?,3,False,How many people are there? 3
2360364,How many people are there?,4,False,How many people are there? 4
2360364,How many people are there?,1,True,How many people are there? 1
2360392,How many animals are shown?,1,False,How many animals are shown? 1
2360392,How many animals are shown?,3,False,How many animals are shown? 3
2360392,How many animals are shown?,4,False,How many animals are shown? 4
2360392,How many animals are shown?,2,True,How many animals are shown? 2
2360393,How many flowers are painted?,2,False,How many flowers are painted? 2
2360393,How many flowers are painted?,1,False,How many flowers are painted? 1
2360393,How many flowers are painted?,4,False,How many flowers are painted? 4
2360393,How many flowers are painted?,3,True,How many flowers are painted? 3
2360434,How many signs are pictured?,3,False,How many signs are pictured? 3
2360434,How many signs are pictured?,0,False,How many signs are pictured? 0
2360434,How many signs are pictured?,1,False,How many signs are pictured? 1
2360434,How many signs are pictured?,4,True,How many signs are pictured? 4
2360440,How many bears are there?,4,False,How many bears are there? 4
2360440,How many bears are there?,6,False,How many bears are there? 6
2360440,How many bears are there?,7,False,How many bears are there? 7
2360440,How many bears are there?,3,True,How many bears are there? 3
2360453,How many apples are present?,3,False,How many apples are present? 3
2360453,How many apples are present?,4,False,How many apples are present? 4
2360453,How many apples are present?,5,False,How many apples are present? 5
2360453,How many apples are present?,2,True,How many apples are present? 2
2360469,How many lego trains are shown?,4,False,How many lego trains are shown? 4
2360469,How many lego trains are shown?,3,False,How many lego trains are shown? 3
2360469,How many lego trains are shown?,2,False,How many lego trains are shown? 2
2360469,How many lego trains are shown?,1,True,How many lego trains are shown? 1
2360471,How many claws does the bird have?,4,False,How many claws does the bird have? 4
2360471,How many claws does the bird have?,3,False,How many claws does the bird have? 3
2360471,How many claws does the bird have?,2,False,How many claws does the bird have? 2
2360471,How many claws does the bird have?,6,True,How many claws does the bird have? 6
2360495,How many tails does the kite have?,4,False,How many tails does the kite have? 4
2360495,How many tails does the kite have?,3,False,How many tails does the kite have? 3
2360495,How many tails does the kite have?,6,False,How many tails does the kite have? 6
2360495,How many tails does the kite have?,2,True,How many tails does the kite have? 2
2360495,How many satellites are there?,4,False,How many satellites are there? 4
2360495,How many satellites are there?,5,False,How many satellites are there? 5
2360495,How many satellites are there?,1,False,How many satellites are there? 1
2360495,How many satellites are there?,2,True,How many satellites are there? 2
2360501,How many windows can be seen?,8,False,How many windows can be seen? 8
2360501,How many windows can be seen?,3,False,How many windows can be seen? 3
2360501,How many windows can be seen?,2,False,How many windows can be seen? 2
2360501,How many windows can be seen?,7,True,How many windows can be seen? 7
2360508,How many of the birds wings are extended in total?,3,False,How many of the birds wings are extended in total? 3
2360508,How many of the birds wings are extended in total?,1,False,How many of the birds wings are extended in total? 1
2360508,How many of the birds wings are extended in total?,2,False,How many of the birds wings are extended in total? 2
2360508,How many of the birds wings are extended in total?,4,True,How many of the birds wings are extended in total? 4
2360535,How many motorcycles are in the picture?,2,False,How many motorcycles are in the picture? 2
2360535,How many motorcycles are in the picture?,4,False,How many motorcycles are in the picture? 4
2360535,How many motorcycles are in the picture?,3,False,How many motorcycles are in the picture? 3
2360535,How many motorcycles are in the picture?,1,True,How many motorcycles are in the picture? 1
2360576,How many bananas are there?,4,False,How many bananas are there? 4
2360576,How many bananas are there?,5,False,How many bananas are there? 5
2360576,How many bananas are there?,7,False,How many bananas are there? 7
2360576,How many bananas are there?,2,True,How many bananas are there? 2
2360624,How many seats are shown?,1,False,How many seats are shown? 1
2360624,How many seats are shown?,2,False,How many seats are shown? 2
2360624,How many seats are shown?,3,False,How many seats are shown? 3
2360624,How many seats are shown?,5,True,How many seats are shown? 5
2360625,How many motorcycles are there?,2,False,How many motorcycles are there? 2
2360625,How many motorcycles are there?,3,False,How many motorcycles are there? 3
2360625,How many motorcycles are there?,4,False,How many motorcycles are there? 4
2360625,How many motorcycles are there?,1,True,How many motorcycles are there? 1
2360724,How many teeth does the mask have left?,12,False,How many teeth does the mask have left? 12
2360724,How many teeth does the mask have left?,16,False,How many teeth does the mask have left? 16
2360724,How many teeth does the mask have left?,18,False,How many teeth does the mask have left? 18
2360724,How many teeth does the mask have left?,14,True,How many teeth does the mask have left? 14
2360734,How many people are in the picture?,5,False,How many people are in the picture? 5
2360734,How many people are in the picture?,6,False,How many people are in the picture? 6
2360734,How many people are in the picture?,2,False,How many people are in the picture? 2
2360734,How many people are in the picture?,4,True,How many people are in the picture? 4
2360743,How many buses are there?,0,False,How many buses are there? 0
2360743,How many buses are there?,2,False,How many buses are there? 2
2360743,How many buses are there?,3,False,How many buses are there? 3
2360743,How many buses are there?,1,True,How many buses are there? 1
2360762,How many of the tan umbrellas are opened up?,10,False,How many of the tan umbrellas are opened up? 10
2360762,How many of the tan umbrellas are opened up?,8,False,How many of the tan umbrellas are opened up? 8
2360762,How many of the tan umbrellas are opened up?,9,False,How many of the tan umbrellas are opened up? 9
2360762,How many of the tan umbrellas are opened up?,7,True,How many of the tan umbrellas are opened up? 7
2360768,How many people are there?,4,False,How many people are there? 4
2360768,How many people are there?,2,False,How many people are there? 2
2360768,How many people are there?,0,False,How many people are there? 0
2360768,How many people are there?,1,True,How many people are there? 1
2360781,How many shelves on the cart?,2,False,How many shelves on the cart? 2
2360781,How many shelves on the cart?,4,False,How many shelves on the cart? 4
2360781,How many shelves on the cart?,5,False,How many shelves on the cart? 5
2360781,How many shelves on the cart?,3,True,How many shelves on the cart? 3
2360809,How many stickers are on the luggage?,5,False,How many stickers are on the luggage? 5
2360809,How many stickers are on the luggage?,2,False,How many stickers are on the luggage? 2
2360809,How many stickers are on the luggage?,3,False,How many stickers are on the luggage? 3
2360809,How many stickers are on the luggage?,6,True,How many stickers are on the luggage? 6
2360849,How many people are there?,6,False,How many people are there? 6
2360849,How many people are there?,3,False,How many people are there? 3
2360849,How many people are there?,5,False,How many people are there? 5
2360849,How many people are there?,4,True,How many people are there? 4
2360869,How many people are there?,9,False,How many people are there? 9
2360869,How many people are there?,5,False,How many people are there? 5
2360869,How many people are there?,4,False,How many people are there? 4
2360869,How many people are there?,0,True,How many people are there? 0
2360889,How many trains are shown?,2,False,How many trains are shown? 2
2360889,How many trains are shown?,3,False,How many trains are shown? 3
2360889,How many trains are shown?,4,False,How many trains are shown? 4
2360889,How many trains are shown?,1,True,How many trains are shown? 1
2360918,How many traffic lights are in the photo?,8,False,How many traffic lights are in the photo? 8
2360918,How many traffic lights are in the photo?,4,False,How many traffic lights are in the photo? 4
2360918,How many traffic lights are in the photo?,3,False,How many traffic lights are in the photo? 3
2360918,How many traffic lights are in the photo?,1,True,How many traffic lights are in the photo? 1
2360921,How many trees are in the background?,9,False,How many trees are in the background? 9
2360921,How many trees are in the background?,5,False,How many trees are in the background? 5
2360921,How many trees are in the background?,7,False,How many trees are in the background? 7
2360921,How many trees are in the background?,10,True,How many trees are in the background? 10
2360921,How many hats are being worn?,4,False,How many hats are being worn? 4
2360921,How many hats are being worn?,3,False,How many hats are being worn? 3
2360921,How many hats are being worn?,2,False,How many hats are being worn? 2
2360921,How many hats are being worn?,5,True,How many hats are being worn? 5
2360971,How many people are in the picture?,4,False,How many people are in the picture? 4
2360971,How many people are in the picture?,5,False,How many people are in the picture? 5
2360971,How many people are in the picture?,8,False,How many people are in the picture? 8
2360971,How many people are in the picture?,3,True,How many people are in the picture? 3
2361046,How many fish do you see?,2,False,How many fish do you see? 2
2361046,How many fish do you see?,5,False,How many fish do you see? 5
2361046,How many fish do you see?,3,False,How many fish do you see? 3
2361046,How many fish do you see?,1,True,How many fish do you see? 1
2361046,How many bears are catching fish?,2,False,How many bears are catching fish? 2
2361046,How many bears are catching fish?,3,False,How many bears are catching fish? 3
2361046,How many bears are catching fish?,4,False,How many bears are catching fish? 4
2361046,How many bears are catching fish?,1,True,How many bears are catching fish? 1
2361052,How many pictures are on the wall?,6,False,How many pictures are on the wall? 6
2361052,How many pictures are on the wall?,7,False,How many pictures are on the wall? 7
2361052,How many pictures are on the wall?,8,False,How many pictures are on the wall? 8
2361052,How many pictures are on the wall?,5,True,How many pictures are on the wall? 5
2361052,How many bikes are in the picture?,1,False,How many bikes are in the picture? 1
2361052,How many bikes are in the picture?,3,False,How many bikes are in the picture? 3
2361052,How many bikes are in the picture?,4,False,How many bikes are in the picture? 4
2361052,How many bikes are in the picture?,2,True,How many bikes are in the picture? 2
2361088,How many people are in the photo?,5,False,How many people are in the photo? 5
2361088,How many people are in the photo?,8,False,How many people are in the photo? 8
2361088,How many people are in the photo?,9,False,How many people are in the photo? 9
2361088,How many people are in the photo?,4,True,How many people are in the photo? 4
2361088,How many people are in the foreground of the photo?,4,False,How many people are in the foreground of the photo? 4
2361088,How many people are in the foreground of the photo?,5,False,How many people are in the foreground of the photo? 5
2361088,How many people are in the foreground of the photo?,1,False,How many people are in the foreground of the photo? 1
2361088,How many people are in the foreground of the photo?,3,True,How many people are in the foreground of the photo? 3
2361089,How many traffic lights are green?,2,False,How many traffic lights are green? 2
2361089,How many traffic lights are green?,3,False,How many traffic lights are green? 3
2361089,How many traffic lights are green?,4,False,How many traffic lights are green? 4
2361089,How many traffic lights are green?,1,True,How many traffic lights are green? 1
2361131,How many people are shown?,5,False,How many people are shown? 5
2361131,How many people are shown?,6,False,How many people are shown? 6
2361131,How many people are shown?,9,False,How many people are shown? 9
2361131,How many people are shown?,3,True,How many people are shown? 3
2361163,How many signs are there?,1,False,How many signs are there? 1
2361163,How many signs are there?,4,False,How many signs are there? 4
2361163,How many signs are there?,5,False,How many signs are there? 5
2361163,How many signs are there?,2,True,How many signs are there? 2
2361172,How many tiers is the shelf in the shower?,2,False,How many tiers is the shelf in the shower? 2
2361172,How many tiers is the shelf in the shower?,1,False,How many tiers is the shelf in the shower? 1
2361172,How many tiers is the shelf in the shower?,4,False,How many tiers is the shelf in the shower? 4
2361172,How many tiers is the shelf in the shower?,3,True,How many tiers is the shelf in the shower? 3
2361178,How many animals are in the photo?,1,False,How many animals are in the photo? 1
2361178,How many animals are in the photo?,2,False,How many animals are in the photo? 2
2361178,How many animals are in the photo?,3,False,How many animals are in the photo? 3
2361178,How many animals are in the photo?,0,True,How many animals are in the photo? 0
2361179,How many people are shown?,1,False,How many people are shown? 1
2361179,How many people are shown?,2,False,How many people are shown? 2
2361179,How many people are shown?,3,False,How many people are shown? 3
2361179,How many people are shown?,0,True,How many people are shown? 0
2361179,How many utensils are on the table?,6,False,How many utensils are on the table? 6
2361179,How many utensils are on the table?,5,False,How many utensils are on the table? 5
2361179,How many utensils are on the table?,2,False,How many utensils are on the table? 2
2361179,How many utensils are on the table?,1,True,How many utensils are on the table? 1
2361210,How many emergency vehicles are there?,9,False,How many emergency vehicles are there? 9
2361210,How many emergency vehicles are there?,8,False,How many emergency vehicles are there? 8
2361210,How many emergency vehicles are there?,7,False,How many emergency vehicles are there? 7
2361210,How many emergency vehicles are there?,2,True,How many emergency vehicles are there? 2
2361222,How many skiers are there?,2,False,How many skiers are there? 2
2361222,How many skiers are there?,3,False,How many skiers are there? 3
2361222,How many skiers are there?,4,False,How many skiers are there? 4
2361222,How many skiers are there?,1,True,How many skiers are there? 1
2361231,How many people are pictured?,4,False,How many people are pictured? 4
2361231,How many people are pictured?,5,False,How many people are pictured? 5
2361231,How many people are pictured?,6,False,How many people are pictured? 6
2361231,How many people are pictured?,2,True,How many people are pictured? 2
2361231,How many cakes are shown?,6,False,How many cakes are shown? 6
2361231,How many cakes are shown?,7,False,How many cakes are shown? 7
2361231,How many cakes are shown?,8,False,How many cakes are shown? 8
2361231,How many cakes are shown?,4,True,How many cakes are shown? 4
2361282,How many buses are shown?,2,False,How many buses are shown? 2
2361282,How many buses are shown?,14,False,How many buses are shown? 14
2361282,How many buses are shown?,11,False,How many buses are shown? 11
2361282,How many buses are shown?,1,True,How many buses are shown? 1
2361376,How many urinals are there?,12,False,How many urinals are there? 12
2361376,How many urinals are there?,10,False,How many urinals are there? 10
2361376,How many urinals are there?,8,False,How many urinals are there? 8
2361376,How many urinals are there?,13,True,How many urinals are there? 13
2361390,How many red motorcycles are featured?,3,False,How many red motorcycles are featured? 3
2361390,How many red motorcycles are featured?,4,False,How many red motorcycles are featured? 4
2361390,How many red motorcycles are featured?,5,False,How many red motorcycles are featured? 5
2361390,How many red motorcycles are featured?,2,True,How many red motorcycles are featured? 2
2361430,How many bottles are on the windowsill?,4,False,How many bottles are on the windowsill? 4
2361430,How many bottles are on the windowsill?,5,False,How many bottles are on the windowsill? 5
2361430,How many bottles are on the windowsill?,6,False,How many bottles are on the windowsill? 6
2361430,How many bottles are on the windowsill?,3,True,How many bottles are on the windowsill? 3
2361450,How many spoons?,1,False,How many spoons? 1
2361450,How many spoons?,3,False,How many spoons? 3
2361450,How many spoons?,5,False,How many spoons? 5
2361450,How many spoons?,2,True,How many spoons? 2
2361468,How many toothbrushes are there?,3,False,How many toothbrushes are there? 3
2361468,How many toothbrushes are there?,4,False,How many toothbrushes are there? 4
2361468,How many toothbrushes are there?,5,False,How many toothbrushes are there? 5
2361468,How many toothbrushes are there?,2,True,How many toothbrushes are there? 2
2361468,How many animals are shown?,1,False,How many animals are shown? 1
2361468,How many animals are shown?,2,False,How many animals are shown? 2
2361468,How many animals are shown?,3,False,How many animals are shown? 3
2361468,How many animals are shown?,0,True,How many animals are shown? 0
2361475,How many tab signs are there?,8,False,How many tab signs are there? 8
2361475,How many tab signs are there?,9,False,How many tab signs are there? 9
2361475,How many tab signs are there?,7,False,How many tab signs are there? 7
2361475,How many tab signs are there?,5,True,How many tab signs are there? 5
2361475,How many red signs are there?,2,False,How many red signs are there? 2
2361475,How many red signs are there?,3,False,How many red signs are there? 3
2361475,How many red signs are there?,4,False,How many red signs are there? 4
2361475,How many red signs are there?,1,True,How many red signs are there? 1
2361475,How many blue signs are shown?,4,False,How many blue signs are shown? 4
2361475,How many blue signs are shown?,5,False,How many blue signs are shown? 5
2361475,How many blue signs are shown?,6,False,How many blue signs are shown? 6
2361475,How many blue signs are shown?,3,True,How many blue signs are shown? 3
2361475,How many round signs are shown?,3,False,How many round signs are shown? 3
2361475,How many round signs are shown?,4,False,How many round signs are shown? 4
2361475,How many round signs are shown?,5,False,How many round signs are shown? 5
2361475,How many round signs are shown?,2,True,How many round signs are shown? 2
2361481,How many women are there?,1,False,How many women are there? 1
2361481,How many women are there?,3,False,How many women are there? 3
2361481,How many women are there?,2,False,How many women are there? 2
2361481,How many women are there?,0,True,How many women are there? 0
2361481,How many people are handling the horses?,3,False,How many people are handling the horses? 3
2361481,How many people are handling the horses?,2,False,How many people are handling the horses? 2
2361481,How many people are handling the horses?,0,False,How many people are handling the horses? 0
2361481,How many people are handling the horses?,1,True,How many people are handling the horses? 1
2361481,How many people are wearing yellow shirts?,2,False,How many people are wearing yellow shirts? 2
2361481,How many people are wearing yellow shirts?,3,False,How many people are wearing yellow shirts? 3
2361481,How many people are wearing yellow shirts?,4,False,How many people are wearing yellow shirts? 4
2361481,How many people are wearing yellow shirts?,1,True,How many people are wearing yellow shirts? 1
2361491,How many birds are in the picture?,2,False,How many birds are in the picture? 2
